text,clean_text,polarity_score,sentiment
valo review dekhe kinlam ekhon dekhi ek ta kaj kore ekta korena.Abar ektu chole disconnect hoyebjay.Ekta cholle tao mantam etonar disconnect hole kivabe ki.,valo review dekhe kinlam ekhon dekhi ek ta kaj kore ekta korenaabar ektu chole disconnect hoyebjayekta cholle tao mantam etonar disconnect hole kivabe ki,7,0
"akdom paltu headphones ,sound quality Valo nah ak Kan suna jai arek Kan suna jai nah..
AR agula local headphones ar moto","akdom paltu headphones sound quality valo nah ak kan suna jai arek kan suna jai nah
ar agula local headphones ar moto",5,2
"dam hisabe average oto o vlo sound quality nh, R Seller k msg dile seen e kore nh ami 9 din por parcel hate paichi",dam hisabe average oto o vlo sound quality nh r seller k msg dile seen e kore nh ami 9 din por parcel hate paichi,9,1
Ummm Yeah its a good  product..ekhon dekhi kotodin chole ar kotokhon charge thke Sound quality 10/09,ummm yeah its a good  productekhon dekhi kotodin chole ar kotokhon charge thke sound quality 1009,11,1
sobai nite paren awesome akta product.....Tobe charging port Type C hole Valo hoto... I phone er charger er port deoa.....use korci onk Valo sound dey r charge o thake onk Valo...,sobai nite paren awesome akta producttobe charging port type c hole valo hoto i phone er charger er port deoause korci onk valo sound dey r charge o thake onk valo,11,1
"khub vlo product. onk din charge thake.
15 din use korar por review dilam..Over all vlo bola jai.
apnara chaile nite paren","khub vlo product onk din charge thake
15 din use korar por review dilamover all vlo bola jai
apnara chaile nite paren",7,0
alhamdulliah onek valo akta product. kinto order korecilam Kalo colour peyeci sada ta. tarporeo ato kom dam EE onek valo akta product peyeci.,alhamdulliah onek valo akta product kinto order korecilam kalo colour peyeci sada ta tarporeo ato kom dam ee onek valo akta product peyeci,7,0
ei dame khub bhalo ekta product ami kisu larsent discount e nisilam apnarao nite paren,ei dame khub bhalo ekta product ami kisu larsent discount e nisilam apnarao nite paren,7,0
Alhamdulliha. product onk valo chilo . delivery man o onk valo chilo. donnobad daraz.,alhamdulliha product onk valo chilo  delivery man o onk valo chilo donnobad daraz,7,0
"dakhalo mi dilo apple ar duplicate ta bujlam na.
but price onujaye product ta valo.","dakhalo mi dilo apple ar duplicate ta bujlam na
but price onujaye product ta valo",7,0
nice prodact bebohar kore tarpor review dicci khub valo prodact caile nite paren,nice prodact bebohar kore tarpor review dicci khub valo prodact caile nite paren,9,1
Airbud ta bhaloi.charge mota-moti onek khon thake.but delivery onek slow chilo,airbud ta bhaloicharge motamoti onek khon thakebut delivery onek slow chilo,7,0
onek balo product paisi. apnara o chaily nite paren.khub druto Delivery paisi,onek balo product paisi apnara o chaily nite parenkhub druto delivery paisi,7,0
Price onujai product valoi. Akhon dekhar bishoy charge kototuku back up day,price onujai product valoi akhon dekhar bishoy charge kototuku back up day,7,0
bhai akdom beje packet sera airpods a dag on hoy na taka gola jola galo,bhai akdom beje packet sera airpods a dag on hoy na taka gola jola galo,7,0
Samsung caichi 2 ta akta Samsung paichi ar akta  anno brand ar paichi,samsung caichi 2 ta akta samsung paichi ar akta  anno brand ar paichi,7,0
Baje product. Box packaging valo chilo na and dan kaner airpods ta nosto. Kichu sona jai na.,baje product box packaging valo chilo na and dan kaner airpods ta nosto kichu sona jai na,7,0
dam hisebe ..onek valo hoiche .....sundhar akta product paici ..tnx,dam hisebe onek valo hoiche sundhar akta product paici tnx,8,1
"Alhamdulillah, Sound quality 100/100 range o onk valo but charge backup aktu kom dei, price onujaye onek valo product",alhamdulillah sound quality 100100 range o onk valo but charge backup aktu kom dei price onujaye onek valo product,7,0
Alhamdulillah onk shundor akta product 2 day baboher korea bolci,alhamdulillah onk shundor akta product 2 day baboher korea bolci,7,0
dam hisabe jos akta product😍.quality o valo. chaile nite paren,dam hisabe jos akta productquality o valo chaile nite paren,7,0
300+ tk hishebe product kharap na.. Consider kora jaite pare eta,300 tk hishebe product kharap na consider kora jaite pare eta,7,0
price onujai airpods tah valo... thnaks daraz and the seller,price onujai airpods tah valo thnaks daraz and the seller,7,0
Alhamdulillah jemon chaici temon phaici onak valo akta jinjs sobai nite paren,alhamdulillah jemon chaici temon phaici onak valo akta jinjs sobai nite paren,7,0
"Alhumdulillah onk valo 
Price hishebe onk valo 
Recommend","alhumdulillah onk valo 
price hishebe onk valo 
recommend",9,1
motamoti valo caile nite paren 1 gonta moto charge thake,motamoti valo caile nite paren 1 gonta moto charge thake,7,0
viya ki product dilen aktay sound ase r aktay ase na??,viya ki product dilen aktay sound ase r aktay ase na,7,0
product mota muti valo but packaging khub kharap selo,product mota muti valo but packaging khub kharap selo,7,0
"Product ta os3r cilo 1st time oder kre nicilam, onk vlo lagce,",product ta os3r cilo 1st time oder kre nicilam onk vlo lagce,7,0
"kaj kore na thik moto,, touch laglei off hoye Jai",kaj kore na thik moto touch laglei off hoye jai,7,0
alhamdullah valo paichi.jeta caicilam oitay paichi.,alhamdullah valo paichijeta caicilam oitay paichi,7,0
khubi bhalo kintu product ar packaging ta bhalo na,khubi bhalo kintu product ar packaging ta bhalo na,7,0
"Vlo Sound quality, nite paren 320 takay vlo chilo",vlo sound quality nite paren 320 takay vlo chilo,7,0
3diner modde hate pelem donnobad daraz🥰,3diner modde hate pelem donnobad daraz,2,2
Holder er opener ta thik moto place hoyna.. bakisob ok,holder er opener ta thik moto place hoyna bakisob ok,9,1
charge Hoy na Vai onnek somossa nilei los😡,charge hoy na vai onnek somossa nilei los,7,0
"alhamdulliah products vlo
sobai nite paren.","alhamdulliah products vlo
sobai nite paren",7,0
oh my god!! nice product thank u daraz❤️,oh my god nice product thank u daraz,12,1
"kob baje keo niben na...
nostw ta paise","kob baje keo niben na
nostw ta paise",7,0
ai price ar vitore chole kharap na....,ai price ar vitore chole kharap na,7,0
price hisabe quality onek valo best,price hisabe quality onek valo best,11,1
"ek den o chole nai charj hoy na, ek dene nosto",ek den o chole nai charj hoy na ek dene nosto,7,0
Vai ektuo valo na .kao ata nito na,vai ektuo valo na kao ata nito na,7,0
akdom baje kau tk nosto korben na,akdom baje kau tk nosto korben na,7,0
300 tkr bitre mutamuti tik ase,300 tkr bitre mutamuti tik ase,7,0
product hate pailam daki kemon,product hate pailam daki kemon,2,2
ei budget e valoi product 👍,ei budget e valoi product ,7,0
jamon ta deksi oitai paisi khub valo,jamon ta deksi oitai paisi khub valo,7,0
Ami ja disilam ta Ashe nai aro kharap ta ashse Ami ae talay aro Valo paitam. dekhaise akta disen arekta..why?,ami ja disilam ta ashe nai aro kharap ta ashse ami ae talay aro valo paitam dekhaise akta disen arektawhy,7,0
nite paren onek balo chilo,nite paren onek balo chilo,7,0
ato kom dame Valo jinis,ato kom dame valo jinis,7,0
just awesome 9 pis nisi,just awesome 9 pis nisi,11,1
product ta asol ay joss,product ta asol ay joss,7,0
shby nite paren vlo ase,shby nite paren vlo ase,7,0
motamoti valo.  dan kaner tar sound khubi valo kintu bam kaner ta beshi ekta valo na,motamoti valo  dan kaner tar sound khubi valo kintu bam kaner ta beshi ekta valo na,7,0
"motamoti, dame kom mane valo",motamoti dame kom mane valo,7,0
Daraz ara protarok kaharap jinish dey.,daraz ara protarok kaharap jinish dey,7,0
motamoti balo charge kom thake aitoi ja somossa,motamoti balo charge kom thake aitoi ja somossa,7,0
ektu owh valo nah oraimo ar aita onk deeprange duplicate aktu owh valo nah onk somy lage puls aktu ow valo nah,ektu owh valo nah oraimo ar aita onk deeprange duplicate aktu owh valo nah onk somy lage puls aktu ow valo nah,4,2
1st of all jeita dekhaisen oita den nai. ,1st of all jeita dekhaisen oita den nai ,7,0
"ami shob somoy order kori daraz theke kintu ai bar amon products dibe kono din bavi nai 
onk baje akta product, klk niyechi right side er ta kaaj kore r left tai charge e hoi na akdom nosto","ami shob somoy order kori daraz theke kintu ai bar amon products dibe kono din bavi nai 
onk baje akta product klk niyechi right side er ta kaaj kore r left tai charge e hoi na akdom nosto",7,0
sound quality overall Budget friendly but j Cable ta diacen ai tay crg uthe nah,sound quality overall budget friendly but j cable ta diacen ai tay crg uthe nah,7,0
Ekta vlo arekta nosto. Eta khub e unexpected. Check kore deya uchit chilo.,ekta vlo arekta nosto eta khub e unexpected check kore deya uchit chilo,7,0
eke bare baje chi chi ogore paile ami age suddam product khub baje oak thu,eke bare baje chi chi ogore paile ami age suddam product khub baje oak thu,7,0
"product Valo, but charge theke na, minimum 30 minute change take.",product valo but charge theke na minimum 30 minute change take,7,0
"sensor ektao kaj kore na,, voice recording valo na😓😓😓",sensor ektao kaj kore na voice recording valo na,7,0
headphone ekta cholche arekta cholche eita ki dilen bhai,headphone ekta cholche arekta cholche eita ki dilen bhai,7,0
Quality nai. Order disi white dise black.,quality nai order disi white dise black,7,0
product quality ektu kharap kbl received korlam akhn e somossa palam aro to din baki ase,product quality ektu kharap kbl received korlam akhn e somossa palam aro to din baki ase,7,0
sounds systems onk onk kharp,sounds systems onk onk kharp,7,0
"valo nah
connect e hoy nah","valo nah
connect e hoy nah",5,2
faltu keo niyen na plsds,faltu keo niyen na plsds,7,0
kom dam a valo produced sobi nita paran,kom dam a valo produced sobi nita paran,7,0
"Alhamdulillah aita mota moti valoi kom
Price a valo podak ar Kew niya chalice niya paren","alhamdulillah aita mota moti valoi kom
price a valo podak ar kew niya chalice niya paren",7,0
Khub valo product,khub valo product,7,0
Khubi valo products price onujai onk valo ami mone kori matro hate fellam use kore deklam best ar delivery man ar behavior onk valo cilow donnobad daraz 🤍,khubi valo products price onujai onk valo ami mone kori matro hate fellam use kore deklam best ar delivery man ar behavior onk valo cilow donnobad daraz ,7,0
"1.khub akta valo na.
2.ak side ar tar sound kom hoy.ay budget hishabe valo .
3. Quality valo.kintu khub valo na.","1khub akta valo na
2ak side ar tar sound kom hoyay budget hishabe valo 
3 quality valokintu khub valo na",7,0
Price onujai thik aseh but noice cancellation and baki features kaj kore na but sound quality chole mota moti,price onujai thik aseh but noice cancellation and baki features kaj kore na but sound quality chole mota moti,7,0
Product order deoar 2 din pore pelum . product onek bhalo packaging ta dekhe bhalo mone hocche . Beboharer por bakita bolajabe.,product order deoar 2 din pore pelum  product onek bhalo packaging ta dekhe bhalo mone hocche  beboharer por bakita bolajabe,7,0
product ta onek onek valo chilo shobai mite paren ar delivery o taratari hoiche delivery vaita onek valo oi onujai aro valo laglo tnx vai...ar daraz ke dhonnobad eto shundor ekti product amake deyar jonno,product ta onek onek valo chilo shobai mite paren ar delivery o taratari hoiche delivery vaita onek valo oi onujai aro valo laglo tnx vaiar daraz ke dhonnobad eto shundor ekti product amake deyar jonno,8,1
"Daraz theke eto balo ekta airpod pabo kolponawo kori nai🤷‍♂️ 
Khub balo ekta airpod sound quality sei apnara lagle nite paren 🙂","daraz theke eto balo ekta airpod pabo kolponawo kori nai 
khub balo ekta airpod sound quality sei apnara lagle nite paren ",7,0
"ANC kaaj kore na....plus charger o kaaj korena
overall daam onujai kharap na. sound bhalo Alhamdulillah.","anc kaaj kore naplus charger o kaaj korena
overall daam onujai kharap na sound bhalo alhamdulillah",7,0
"product ar anc kaj kore na🙂
ai prize a anno sokol airpods ar ai anc kaj kore🙂
5 star dilam jeno sobai revew dekkhe kinte pare👍","product ar anc kaj kore na
ai prize a anno sokol airpods ar ai anc kaj kore
5 star dilam jeno sobai revew dekkhe kinte pare",10,1
"15 din er moto use korlam..airpods valoi but ANC kaj kortece naki sure na tobe original airpods er moto onno features kaj kortece, overall valo",15 din er moto use korlamairpods valoi but anc kaj kortece naki sure na tobe original airpods er moto onno features kaj kortece overall valo,11,1
this airpod is perfect for daily uses. sound quality is good and also charge long lasting stay. and lastly i say seller vaiya onk valo thank u vaiya 🥹✨,this airpod is perfect for daily uses sound quality is good and also charge long lasting stay and lastly i say seller vaiya onk valo thank u vaiya ,12,1
Sundor packaging chilo. Box e ektu o kono scratch pai ni. Bhitore sob kichui valo moto chilo.,sundor packaging chilo box e ektu o kono scratch pai ni bhitore sob kichui valo moto chilo,5,2
"good product  . but bass ektu kom and Baki sob thik ache . 
for daraz best offes 01920610605","good product   but bass ektu kom and baki sob thik ache  
for daraz best offes 01920610605",10,1
"The packaging is good, and the product looks just like the picture shown. so, would recommend",the packaging is good and the product looks just like the picture shown so would recommend,12,1
"Prodakti vlo... 
kicu din dore use korte ci Kno problem daki nai.
Battery health o onk vlo❤️","prodakti vlo 
kicu din dore use korte ci kno problem daki nai
battery health o onk vlo",4,2
same to same paichi....onek sundor product... sound quality onek Valo...besss o Valo dey...,same to same paichionek sundor product sound quality onek valobesss o valo dey,7,0
"Quality  khub valo mone hocchey. long run e service kemon dibe janina, but i'm hopeful.",quality  khub valo mone hocchey long run e service kemon dibe janina but im hopeful,11,1
"awesome 😎 
seller o onek vlo 
delivery fast peyechilam 😎
charge backup o vlo e ❤️‍🔥","awesome  
seller o onek vlo 
delivery fast peyechilam 
charge backup o vlo e ",11,1
"not bad..ANC works, beige is too much.....and wearless charge o hoy..valo lagse..🤍",not badanc works beige is too muchand wearless charge o hoyvalo lagse,7,0
alhamdulillah product onek Valo 2 din use korar por review dite si sobai nete paren,alhamdulillah product onek valo 2 din use korar por review dite si sobai nete paren,7,0
"price onujayi thik ase. premium premium ase.
dalivery man o khub valo silo.","price onujayi thik ase premium premium ase
dalivery man o khub valo silo",7,0
The Airpod Was Good....Ami ank Din jabot use korsi..Bash Valo..product,the airpod was goodami ank din jabot use korsibash valoproduct,7,0
"prodect bhaloi anc nai sound qualitio chole 
kinsi 570 dia nite paren","prodect bhaloi anc nai sound qualitio chole 
kinsi 570 dia nite paren",7,0
"Alhamdulilla valo akta prodacted paiche 
sound /baje 100 ta 96","alhamdulilla valo akta prodacted paiche 
sound baje 100 ta 96",7,0
quality ta ero better kora uchit chilo pods er r all goooood,quality ta ero better kora uchit chilo pods er r all goooood,10,1
this comment is not available this comment is not available,this comment is not available this comment is not available,7,0
Overall valoi..... Specially sound quality is satisfying,overall valoi specially sound quality is satisfying,10,1
onek valo quality sound smooth tnx seller ami 2ta niyeci,onek valo quality sound smooth tnx seller ami 2ta niyeci,8,1
Sob kisu thik moto peyesi. Price hisebe onek valo hoise,sob kisu thik moto peyesi price hisebe onek valo hoise,5,2
nice products valo lagar moto. chailay nitay paren,nice products valo lagar moto chailay nitay paren,9,1
Ay price a onk valo product peyesi. sobay nite paren,ay price a onk valo product peyesi sobay nite paren,7,0
"goog quality,  sound valo, clear, price onujaye best",goog quality  sound valo clear price onujaye best,12,1
Valo podak taka onojai Valo apnara caile nite paren,valo podak taka onojai valo apnara caile nite paren,7,0
Asolei onk vlo akta products. thank you seller bhai,asolei onk vlo akta products thank you seller bhai,9,1
Dame onujai product ta onk vlo. Sobai nita paren.,dame onujai product ta onk vlo sobai nita paren,7,0
Price onujayi best quality...I am fully satisfied,price onujayi best qualityi am fully satisfied,12,1
good.  sound ta arakto... clear hoila valo hoto,good  sound ta arakto clear hoila valo hoto,11,1
good products jemon ta asha korchi tmn e paici,good products jemon ta asha korchi tmn e paici,10,1
ak kothai joss valo lagse caile neta paran👍,ak kothai joss valo lagse caile neta paran,7,0
product ta onk vlo apnara caila nita paran,product ta onk vlo apnara caila nita paran,7,0
product ta onk vlo best quality full,product ta onk vlo best quality full,11,1
onk valo product sobai nita paran ❤️,onk valo product sobai nita paran ,7,0
"nice product, price onujayi thik ase",nice product price onujayi thik ase,9,1
Anek valo ginista.Thank you Darraz,anek valo ginistathank you darraz,7,0
sooo good…taka hisabay onk vlo…,sooo goodtaka hisabay onk vlo,7,0
vai best kintu anc nai ga,vai best kintu anc nai ga,11,1
same to same for ad,same to same for ad,7,0
"valoi asha sound Quality valo ✅

akhon dakha bijoy charge kotokhon thake😇

charge back up kharap sob e thik asa 💔","valoi asha sound quality valo 

akhon dakha bijoy charge kotokhon thake

charge back up kharap sob e thik asa ",5,2
airpords 2 ta valo kintu charger dise charger a kono kaz kore na ai charger diya charge hoi  na onno charger dile hoy,airpords 2 ta valo kintu charger dise charger a kono kaz kore na ai charger diya charge hoi  na onno charger dile hoy,7,0
"eikane lekha ase noise cancelling,but noise cancelling kora jai na.",eikane lekha ase noise cancellingbut noise cancelling kora jai na,5,2
Jars AirPods Ai bar pothom bebohar kortaso tara nite paro Amar kase valo lage nai akdom baje ar thike akta tar ala headphones niya valo silo 😔😔,jars airpods ai bar pothom bebohar kortaso tara nite paro amar kase valo lage nai akdom baje ar thike akta tar ala headphones niya valo silo ,7,0
shob theke best eta Ami ageo onek gula kinchi daraz theke kintu etar moto Ek taw pai nai best product forever thanks selar eto bhalo product deoyar Jonno🤍🤍🤍🤍,shob theke best eta ami ageo onek gula kinchi daraz theke kintu etar moto ek taw pai nai best product forever thanks selar eto bhalo product deoyar jonno,13,1
Thik moto charge hoina charge o beshikkhon thakena emnite sob thik thak but ami suggest korbo eta kew na neyar jonno,thik moto charge hoina charge o beshikkhon thakena emnite sob thik thak but ami suggest korbo eta kew na neyar jonno,6,2
"2diner moddhe delivery peye gesi eita valo lagce, sound quality valoi ache, kotodin jay seta dekhar bishoy.",2diner moddhe delivery peye gesi eita valo lagce sound quality valoi ache kotodin jay seta dekhar bishoy,4,2
akdom baje sound quality r charge backup onek kom...anc to nai e... bud ar tus autocratic kaj kore power on off hoi,akdom baje sound quality r charge backup onek komanc to nai e bud ar tus autocratic kaj kore power on off hoi,7,0
"products ta master copy.. but works fine..sound quality valo .. Bluetooth connection , base motamoti .",products ta master copy but works finesound quality valo  bluetooth connection  base motamoti ,7,0
"Ai seller er babohar valo,se customer der sathe valo behave koren.Unar product o onek valo kom dam e ase.Bur daraz er chor delivery man ra mal curi kore nei.",ai seller er babohar valose customer der sathe valo behave korenunar product o onek valo kom dam e asebur daraz er chor delivery man ra mal curi kore nei,7,0
"sound quality marattok price hisabe. bass valo, 2 hour age hathe paisi, jokhn unbox krsilm 70% chrg silo.💗",sound quality marattok price hisabe bass valo 2 hour age hathe paisi jokhn unbox krsilm 70 chrg silo,7,0
price anujai ato vlo na products.  ar aktu best hoa dorkar silo and sob thake boro kotha akta airbird nost.  kaj kore na 😢,price anujai ato vlo na products  ar aktu best hoa dorkar silo and sob thake boro kotha akta airbird nost  kaj kore na ,10,1
Charge Kom Thake Sound Quality Tmn Valo Na ! Normally Use r Jnno Thik Ase Heavy Sound o Na Abar Kom o Na Medium.Bola Jay Cole Kono rokom.,charge kom thake sound quality tmn valo na  normally use r jnno thik ase heavy sound o na abar kom o na mediumbola jay cole kono rokom,7,0
ANC supported na. Quality o average. Onek beshi valo naa. Review dkhei nisilam but disappointed,anc supported na quality o average onek beshi valo naa review dkhei nisilam but disappointed,3,2
